P-of-T,SUBJ,NUMB,SECT,CRN,TITLE,NOTES,HRS,ENRLD,MAXENRL,TIMES,DAYS,LOCATION,INSTRUCTOR,CAMPUS
1,AENT,3832L,51,25840,INSTRUMENTATION LAB,- No-cost:$0 required txtbk cost,0,10,15,07:00-08:50,W,0201 TABOR AGR ACAD,"Williams, Archie",Main Campus
1,AENT,3832L,52,27891,INSTRUMENTATION LAB,- No-cost:$0 required txtbk cost,0,2,10,11:00-01:45,R,0203 TABOR AGR ACAD,"Williams, Archie",Main Campus
1,AGEC,2801,1,24991,INTRO TO AG ECONOMICS,,3,8,25,09:30-10:45,T R,0201 TABOR AGR ACAD,"Pattanaik, Nalini",Main Campus
1,AGEC,3803,1,21256,FARM MANAGEMENT,,2,19,25,02:00-02:50,M W,0201 TABOR AGR ACAD,"Liu, Xuanli",Main Campus
1,AGEC,3843,1,24631,RESEARCH METHODS,,3,13,25,11:00-11:50,M W F,0201 TABOR AGR ACAD,"Liu, Xuanli",Main Campus
1,AGEC,3853,1,26924,COOPERATIVE EDUC/INTERNSHIP,,2,1,10,10:00-10:50,M W,0201 TABOR AGR ACAD,"Ibrahim, Mohammed",Main Campus
1,AGEC,4813,1,24740,AGRICULTURAL PRICE ANALYSIS,,3,15,25,09:00-09:50,M W F,0201 TABOR AGR ACAD,"Ibrahim, Mohammed",Main Campus
1,AGED,2821,W1,22824,YOUTH LEADERSHIP DEVELOPMENT,- No-cost:$0 required txtbk cost,1,19,40,,,,"Borne, Curtis",On-Line
1,AGED,4895,1,27629,DIRECTED TEACHING,- No-cost:$0 required txtbk cost,12,1,5,08:00-03:00,MTWRF,FLD EXPER,"Borne, Curtis",Main Campus
1,AGRI,1801,1,22822,AGRICULTURAL ORIENTATION,- No-cost:$0 required txtbk cost,1,7,15,04:00-04:50,W,0105 TABOR AGR ACAD,"Borne, Curtis",Main Campus
1,ANSC,1801,1,21517,SOC INTERACT & BEHAVIOR ANM,,1,23,40,12:00-12:50,F,0105 TABOR AGR ACAD,"Terrill, Thomas",Main Campus
1,ANSC,2813,1,22825,BIOTECH IN ANIMAL SCI,,3,10,30,03:30-04:45,T R,0114 TABOR AGR ACAD,"Singh, Mahipal",Main Campus
1,ANSC,2813L,51,24742,BIOTECHNOLOGY LAB,,0,10,30,03:00-04:50,F,0114 TABOR AGR ACAD,"Singh, Mahipal",Main Campus
1,ANSC,3873,1,23750,BASIC ANIMAL NUTRITION,,3,30,30,11:00-11:50,M W F,0105 TABOR AGR ACAD,"Whitley, Niki",Main Campus
1,ANSC,4822,1,25742,SENIOR RESEARCH,,2,2,20,08:00-08:50,F,0114 TABOR AGR ACAD,"Park, Young",Main Campus
1,ANSC,4822L,51,25743,SENIOR REASEARCH LAB,,0,2,20,04:00-05:50,M,0114 TABOR AGR ACAD,"Park, Young",Main Campus
1,ANSC,4833,1,24452,ADV REPROD & CELL PHYSIO,,3,8,30,02:00-03:15,T R,0114 TABOR AGR ACAD,"Whitley, Niki",Main Campus
1,ANSC,4833L,51,26833,ADV REPOD CELL PHYS LAB,,0,8,30,03:00-04:50,W,0114 TABOR AGR ACAD,"Whitley, Niki",Main Campus
1,ANSC,4853,1,26502,ANIMAL PRODUCTS TECHNOLOGY,,3,1,30,10:00-10:50,M W,0114 TABOR AGR ACAD,"Park, Young",Main Campus
1,ANSC,4853L,51,26503,ANIMAL PROD TECH LAB,,0,1,30,08:00-09:50,W,MEAT TECHNOLOGY BUILDING,"Park, Young",Main Campus
1,ANSC,5103,1,25538,BIOMETRICS,,3,9,20,03:00-03:50,M W F,MEAT TECHNOLOGY BUILDING,"Gosukonda, Ramana",Main Campus
1,ANSC,5113,1,26314,PHYSIOLOGICAL CHEM,,3,8,20,10:00-10:50,M W F,0212 ACADEMIC CLASSROOM BUILDI,"Daniels, Dwayne",Main Campus
1,ANSC,5113,1,28065,PHYSIOLOGICAL CHEM,,3,0,0,,,,,Main Campus
1,ANSC,5183,1,24483,ANALYTICAL TECH BIOLOG SCI,,3,10,20,12:30-01:45,T R,MEAT TECHNOLOGY BUILDING,"Terrill, Thomas",Main Campus
1,ANSC,5183L,51,24484,ANALYTICAL TRECH LAB,,0,10,20,05:00-06:50,T,MEAT TECHNOLOGY BUILDING,"Terrill, Thomas",Main Campus
1,ANSC,6143,1,27299,RUMINANT NUTRITION,,3,2,20,08:00-08:50,M W,MEAT TECHNOLOGY BUILDING,"Kouakou, Brou",Main Campus
1,ANSC,6143L,51,27300,RUMINANT NUTRITION LAB,,0,2,20,09:00-09:50,F,MEAT TECHNOLOGY BUILDING,"Kouakou, Brou",Main Campus
1,ANSC,6283,1,27646,PHYSIOLOGY OF REPRODUCTION,,3,1,20,05:00-06:15,T R,0114 TABOR AGR ACAD,"Whitley, Niki",Main Campus
1,ANSC,6283L,51,27647,PHYSIOLOGY REPRODUCTION LAB,,0,1,20,05:00-06:50,W,0114 TABOR AGR ACAD,"Whitley, Niki",Main Campus
1,ANSC,6303,1,27301,MOLECULAR BIOLOGY TECHNIQUES,,3,0,20,12:30-01:20,M W,MEAT TECHNOLOGY BUILDING,"Singh, Mahipal",Main Campus
1,ANSC,6303L,51,27302,Molecular Biology Tech Lab,,0,0,20,02:00-03:50,W,MEAT TECHNOLOGY BUILDING,"Singh, Mahipal",Main Campus
1,ANSC,6353,1,26506,FOOD ANALYSIS,,3,1,20,02:00-03:15,T R,MEAT TECHNOLOGY BUILDING,"Lee, Jung",Main Campus
1,ANSC,6353L,51,26507,FOOD ANALYSIS LAB,,0,1,20,12:00-12:50,F,MEAT TECHNOLOGY BUILDING,"Lee, Jung",Main Campus
1,ANSC,6393,1,26911,DAIRY PRODUCTS TECHNOLOGY,,3,1,10,11:00-11:50,M W,MEAT TECHNOLOGY BUILDING,"Park, Young",Main Campus
1,ANSC,6393L,51,26912,Dairy Products Technology Lab,,0,1,10,04:00-04:50,W,MEAT TECHNOLOGY BUILDING,"Park, Young",Main Campus
1,ANSC,6421,1,25546,GRADUATE SEMINARS,,1,2,20,04:00-04:50,R,MEAT TECHNOLOGY BUILDING,"Terrill, Thomas",Main Campus
1,ANSC,6436,1,22843,RESEARCH AND THESIS,,1,3,20,05:00-05:50,M,MEAT TECHNOLOGY BUILDING,"Terrill, Thomas",Main Campus
1,ARTH,1000,1,21798,ART APPRECIATION,- No-cost:$0 required txtbk cost,3,26,30,10:00-10:50,M W F,0202 FOUNDERS ACADEMIC,"Hamilton, Elizabeth",Main Campus
1,ARTH,1000,2,21799,ART APPRECIATION,- No-cost:$0 required txtbk cost,3,24,30,11:00-11:50,M W F,0202 FOUNDERS ACADEMIC,"Hamilton, Elizabeth",Main Campus
1,ARTH,1000,3,23877,ART APPRECIATION,- No-cost:$0 required txtbk cost,3,26,30,02:00-02:50,M W F,0202 FOUNDERS ACADEMIC,"Hamilton, Elizabeth",Main Campus
1,ARTH,1112,1,27834,TWO DIMENSIONAL DESIGN,- No-cost:$0 required txtbk cost,3,10,15,08:00-09:50,M,0208 FOUNDERS ACADEMIC,"Calloway, Ricky",Main Campus
1,ARTH,1112L,51,27835,TWO DIMENSIONAL DESIGN LAB,- No-cost:$0 required txtbk cost,0,10,15,08:00-09:50,W,0208 FOUNDERS ACADEMIC,"Calloway, Ricky",Main Campus
1,ARTH,2000,1,27830,ART HISTORY SURVEY I,- No-cost:$0 required txtbk cost,3,7,20,05:00-07:45,W,0202 FOUNDERS ACADEMIC,"Hamilton, Elizabeth",Main Campus
1,ARTH,2103,1,22247,INTRODUCTION TO DRAWING MEDIA,- No-cost:$0 required txtbk cost,3,7,15,03:00-04:50,M,0208 FOUNDERS ACADEMIC,"Calloway, Ricky",Main Campus
1,ARTH,2103L,51,24733,INTRODUCTION TO DRAWING MEDIA,- No-cost:$0 required txtbk cost,0,5,15,03:00-04:50,W,0208 FOUNDERS ACADEMIC,"Calloway, Ricky",Main Campus
1,ARTH,2363,1,27347,INTRO TO DIGITAL MEDIA& DESIGN,- No-cost:$0 required txtbk cost,3,23,20,02:00-02:50,M W,0116 FOUNDERS ACADEMIC,"Dickey, Bobby",Main Campus
1,ARTH,2363L,51,27348,INTRO /DIG MEDIA & DESIGN LAB,- No-cost:$0 required txtbk cost,0,21,20,02:00-03:50,F,0116 FOUNDERS ACADEMIC,"Dickey, Bobby",Main Campus
1,ARTH,2383,1,27836,INTRODUCTION TO PAINTING,- No-cost:$0 required txtbk cost,3,9,15,10:00-11:50,M,0210 FOUNDERS ACADEMIC,"Calloway, Ricky",Main Campus
1,ARTH,2383L,51,27837,INTRO TO PAINTING LAB,- No-cost:$0 required txtbk cost,0,8,15,10:00-11:50,W,0210 FOUNDERS ACADEMIC,"Calloway, Ricky",Main Campus
1,ARTH,3130,1,28024,COLOR THEORY,,3,13,15,09:30-10:45,T,0208 FOUNDERS ACADEMIC,"Calloway, Ricky",Main Campus
1,ARTH,3130L,51,28025,COLOR THEORY LAB,,0,13,15,09:30-10:45,R,0208 FOUNDERS ACADEMIC,"Calloway, Ricky",Main Campus
1,ARTH,3393,1,27748,DIGITAL MEDIA & DESIGN III,- No-cost:$0 required txtbk cost,3,5,15,03:30-04:45,T R,0116 FOUNDERS ACADEMIC,"Dickey, Bobby",Main Campus
1,ARTH,3393L,51,27749,DIGITAL MEDIA & DESIGN III LAB,- No-cost:$0 required txtbk cost,0,5,15,04:00-05:50,F,0116 FOUNDERS ACADEMIC,"Dickey, Bobby",Main Campus
1,ARTH,4113,1,27838,PORTFOLIO I,- No-cost:$0 required txtbk cost,3,6,15,05:00-07:50,T,0203 FOUNDERS ACADEMIC,"Calloway, Ricky",Main Campus
1,ARTH,4303,1,27822,COMPUTER GRAPHICS IV,- No-cost:$0 required txtbk cost,3,3,20,03:30-04:45,T R,0116 FOUNDERS ACADEMIC,"Dickey, Bobby",Main Campus
1,ARTH,4303L,51,27829,COMPUTER GRAPHICS IV LAB,- No-cost:$0 required txtbk cost,0,3,20,04:00-05:50,F,0116 FOUNDERS ACADEMIC,"Dickey, Bobby",Main Campus
1,ARTH,4999,1,26555,INDEPENDENT STUDY,- No-cost:$0 required txtbk cost,3,18,15,05:00-07:50,R,0116 FOUNDERS ACADEMIC,"Dickey, Bobby",Main Campus
1,BHSC,2300,1,25243,BEHAVIORAL STATS,,3,36,30,10:00-10:50,M W F,0023 BOND ACADEMIC BLDG,"Chatmon, Roddrick",Main Campus
1,BHSC,2300,W1,26580,BEHAVIORAL STATS,,3,30,30,,,,"Haywood, Jerry",On-Line
1,BIOL,1101,1,23250,INTRO TO BIOLOGY,- $40 or under req txtbks cost,1,27,28,04:00-04:50,M,0220 ACADEMIC CLASSROOM BUILDI,"Davis, Melinda",Main Campus
1,BIOL,1101,2,24938,INTRO TO BIOLOGY,,1,26,28,01:00-01:50,M,0220 ACADEMIC CLASSROOM BUILDI,"Dhir, Seema",Main Campus
1,BIOL,1104K,1,21315,INTRO BIOLOGY,,4,44,50,05:30-06:45,T R,0120 ACADEMIC CLASSROOM BUILDI,"Nobles, JoAnne",Main Campus
1,BIOL,1104K,2,21321,INTRO BIOLOGY,,4,51,50,02:00-03:15,T R,0120 ACADEMIC CLASSROOM BUILDI,"Dhir, Seema",Main Campus
1,BIOL,1104K,3,21324,INTRO BIOLOGY,,4,51,50,08:00-08:50,M W F,0120 ACADEMIC CLASSROOM BUILDI,"Paul, Jasmine",Main Campus
1,BIOL,1104K,W1,25870,INTRO BIOLOGY,,4,19,30,,,,"Paul, Jasmine",On-Line
1,BIOL,1104L,51,27003,INTRO BIOL LAB,- $40 or under req txtbks cost,0,23,30,08:00-09:50,T,0131 ACADEMIC CLASSROOM BUILDI,"Jefferson, Felicia",Main Campus
1,BIOL,1104L,52,24198,INTRO BIOL LAB,,0,30,30,10:00-11:50,T,0131 ACADEMIC CLASSROOM BUILDI,"Durham, Cedrica",Main Campus
1,BIOL,1104L,53,24717,INTRO BIOL LAB,,0,27,30,12:00-01:50,T,0131 ACADEMIC CLASSROOM BUILDI,"Durham, Cedrica",Main Campus
1,BIOL,1104L,54,24195,INTRO BIOL LAB,,0,31,30,02:00-03:50,W,0131 ACADEMIC CLASSROOM BUILDI,"Durham, Cedrica",Main Campus
1,BIOL,1104L,55,26629,INTRO BIOL LAB,,0,30,30,09:00-10:50,W,0131 ACADEMIC CLASSROOM BUILDI,"Dhir, Seema",Main Campus
1,BIOL,1104L,W51,26101,INTRO BIOL LAB,,0,20,30,,,,"Paul, Jasmine",On-Line
1,BIOL,1105,1,27557,ENVIRONMENTAL SCIENCE,,3,46,40,03:00-03:50,M W F,0120 ACADEMIC CLASSROOM BUILDI,"Paul, Jasmine",Main Campus
1,BIOL,1105,2,21630,ENVIRONMENTAL SCIENCE,,3,51,50,10:00-10:50,M W F,0120 ACADEMIC CLASSROOM BUILDI,"Paul, Jasmine",Main Campus
1,BIOL,1105,W1,25012,ENVIRONMENTAL SCIENCE,,3,13,30,,,,"Paul, Jasmine",On-Line
1,BIOL,1107K,1,24721,PRINCIPLES OF BIOLOGY I,- Hope & Zell Miller STEM Course,4,54,50,09:00-09:50,M W F,0120 ACADEMIC CLASSROOM BUILDI,"McLaughlin, Frederick",Main Campus
1,BIOL,1107K,2,26195,PRINCIPLES OF BIOLOGY I,- Hope & Zell Miller STEM Course,4,49,50,11:00-11:50,M W F,0120 ACADEMIC CLASSROOM BUILDI,"Davis, Melinda",Main Campus
1,BIOL,1107K,3,22667,PRINCIPLES OF BIOLOGY I,- Hope & Zell Miller STEM Course,4,43,50,02:00-02:50,M W F,0314 ACADEMIC CLASSROOM BUILDI,"Dodd, Celia",Main Campus
1,BIOL,1107K,4,27159,PRINCIPLES OF BIOLOGY I,- Hope & Zell Miller STEM Course,4,44,40,12:30-01:45,T R,0120 ACADEMIC CLASSROOM BUILDI,"Jefferson, Felicia",Main Campus
1,BIOL,1107K,5,28004,PRINCIPLES OF BIOLOGY I,- Hope & Zell Miller STEM Course,4,29,50,12:00-12:50,M W F,0120 ACADEMIC CLASSROOM BUILDI,"Simmons, Kaneatra",Main Campus
1,BIOL,1107K,W1,26592,PRINCIPLES OF BIOLOGY I,- Hope & Zell Miller STEM Course,4,19,25,,,,"Jefferson, Felicia",On-Line
1,BIOL,1107L,51,24185,PRIN OF BIOL LAB,- No-cost:$0 required txtbk cost,0,30,30,12:00-01:50,W,0124 ACADEMIC CLASSROOM BUILDI,"Durham, Cedrica",Main Campus
1,BIOL,1107L,52,26207,PRIN OF BIOL LAB,,0,27,30,12:00-01:50,T,0124 ACADEMIC CLASSROOM BUILDI,"Dhir, Seema",Main Campus
1,BIOL,1107L,53,24187,PRIN OF BIOL LAB,,0,30,30,08:00-09:50,T,0124 ACADEMIC CLASSROOM BUILDI,"Durham, Cedrica",Main Campus
1,BIOL,1107L,54,27004,PRIN OF BIOL LAB,,0,31,30,02:00-03:50,T,0124 ACADEMIC CLASSROOM BUILDI,"McLaughlin, Frederick",Main Campus
1,BIOL,1107L,55,24189,PRIN OF BIOL LAB,,0,34,30,10:00-11:50,W,0124 ACADEMIC CLASSROOM BUILDI,"Dodd, Celia",Main Campus
1,BIOL,1107L,56,27162,PRIN OF BIOL LAB,,0,33,30,04:00-05:50,T,0124 ACADEMIC CLASSROOM BUILDI,"Dhir, Seema",Main Campus
1,BIOL,1107L,57,27449,PRIN OF BIOL LAB,,0,28,30,08:00-09:50,W,0124 ACADEMIC CLASSROOM BUILDI,"Brearley, Terri",Main Campus
1,BIOL,1107L,58,28005,PRIN OF BIOL LAB,,0,10,30,10:00-11:50,T,0124 ACADEMIC CLASSROOM BUILDI,"Simmons, Kaneatra",Main Campus
1,BIOL,1107L,W51,26593,PRIN OF BIOL LAB,,0,18,25,,,,"Jefferson, Felicia",On-Line
1,BIOL,1108K,1,22668,PRINCIPLES OF BIOLOGY II,- Hope & Zell Miller STEM Course,4,40,40,10:00-10:50,M W F,0111 ACADEMIC CLASSROOM BUILDI,"Simmons, Kaneatra",Main Campus
1,BIOL,1108K,2,22847,PRINCIPLES OF BIOLOGY II,- Hope & Zell Miller STEM Course,4,34,40,12:30-01:45,T R,0111 ACADEMIC CLASSROOM BUILDI,"Mbata, George",Main Campus
1,BIOL,1108K,3,25062,PRINCIPLES OF BIOLOGY II,- Hope & Zell Miller STEM Course,4,17,40,02:00-03:15,T R,0111 ACADEMIC CLASSROOM BUILDI,"Davis, Melinda",Main Campus
1,BIOL,1108L,51,24396,PRIN OF BIOL LAB,- No-cost:$0 required txtbk cost,0,30,30,10:00-11:50,R,0131 ACADEMIC CLASSROOM BUILDI,"Brearley, Terri",Main Campus
1,BIOL,1108L,52,24181,PRIN OF BIOL LAB,,0,21,30,02:00-03:50,R,0131 ACADEMIC CLASSROOM BUILDI,"Mbata, George",Main Campus
1,BIOL,1108L,53,26203,PRIN OF BIOL LAB,,0,16,30,12:00-01:50,R,0131 ACADEMIC CLASSROOM BUILDI,"Simmons, Kaneatra",Main Campus
1,BIOL,1108L,54,27005,PRIN OF BIOL LAB,,0,24,30,04:00-05:50,W,0131 ACADEMIC CLASSROOM BUILDI,"Nobles, JoAnne",Main Campus
1,BIOL,3014,1,28057,ECOLOGY,,4,20,25,10:00-10:50,M W F,0134 ACADEMIC CLASSROOM BUILDI,"Davis, Melinda",Main Campus
1,BIOL,3014L,51,28058,ECOLOGY LAB,,0,20,25,03:30-06:00,T,0134 ACADEMIC CLASSROOM BUILDI,"Davis, Melinda",Main Campus
1,BIOL,3223,1,23115,CELL & MOLECULAR BIOLOGY,,3,47,40,01:00-01:50,M W F,0314 ACADEMIC CLASSROOM BUILDI,"Dodd, Celia",Main Campus
1,BIOL,3345,1,27271,PRINCIPLES OF TOXICOLOGY,,3,10,30,09:30-10:45,T R,0321 ACADEMIC CLASSROOM BUILDI,"Dodd, Celia",Main Campus
1,BIOL,4111,1,22527,SPECIAL PROJECTS IN BIOLOGY,- No-cost:$0 required txtbk cost,1,2,0,,,,"Davis, Melinda",Main Campus
1,BIOL,4111,2,27130,SPECIAL PROJECTS IN BIOLOGY,,1,3,0,,,,"Dhir, Seema",Main Campus
1,BIOL,4112,1,24397,SPECIAL PROJECTS IN BIOLOGY,- No-cost:$0 required txtbk cost,1,2,0,,,,"McLaughlin, Frederick",Main Campus
1,BIOL,4112,2,25868,SPECIAL PROJECTS IN BIOLOGY,,1,3,0,,,,"Mbata, George",Main Campus
1,BIOL,4113,1,27883,SPECIAL PROJECTS IN BIOLOGY,- No-cost:$0 required txtbk cost,1,9,0,,,,"Dodd, Celia",Main Campus
1,BIOL,4221,1,21635,BIOLOGY SEMINAR,- No-cost:$0 required txtbk cost,1,12,40,04:00-04:50,R,0111 ACADEMIC CLASSROOM BUILDI,"McLaughlin, Frederick",Main Campus
1,BIOL,4221,2,28008,BIOLOGY SEMINAR,,1,2,10,04:00-04:50,F,0111 ACADEMIC CLASSROOM BUILDI,"McLaughlin, Frederick",Main Campus
1,BIOL,4234K,1,21340,MICROBIOLOGY,,4,22,35,08:00-08:50,M W,0111 ACADEMIC CLASSROOM BUILDI,"McLaughlin, Frederick",Main Campus
1,BIOL,4234L,51,24207,MICROBIOLOGY LAB,,0,18,30,12:30-03:15,M W,0133 ACADEMIC CLASSROOM BUILDI,"McLaughlin, Frederick",Main Campus
1,BIOL,4234L,52,28019,MICROBIOLOGY LAB,,0,4,30,06:00-08:00,T R,0133 ACADEMIC CLASSROOM BUILDI,"McLaughlin, Frederick",Main Campus
1,BIOL,4254K,1,21343,GENETICS,,4,23,30,09:00-09:50,M W F,0111 ACADEMIC CLASSROOM BUILDI,"Simmons, Kaneatra",Main Campus
1,BIOL,4254L,51,24208,GENETICS LAB,,0,23,30,12:30-03:15,T,0324 ACADEMIC CLASSROOM BUILDI,"Simmons, Kaneatra",Main Campus
1,BIOL,4343L,1,23119,SENIOR PROJECT,- No-cost:$0 required txtbk cost,3,6,0,,,,"Dhir, Seema",Main Campus
1,BIOL,4343L,2,23120,SENIOR PROJECT,,3,1,0,,,,"McLaughlin, Frederick",Main Campus
1,BIOL,4343L,3,24729,SENIOR PROJECT,,3,3,0,,,,"Mbata, George",Main Campus
1,BIOL,4343L,4,24730,SENIOR PROJECT,,3,1,0,,,,"Davis, Melinda",Main Campus
1,BIOL,4343L,5,26198,SENIOR PROJECT,,3,0,0,,,,"Shakespeare, Teresa",Main Campus
1,BIOL,4343L,6,25832,SENIOR PROJECT,,3,2,0,,,,"Dodd, Celia",Main Campus
1,BIOL,4343L,7,27021,SENIOR PROJECT,,3,0,0,,,,"Jefferson, Felicia",Main Campus
1,BIOL,5334,WH,27810,ENVIRONMENTAL MICROBIOLOGY,,3,50,50,06:00-09:00,M,0117 ONEAL VET TECH BLD,"Samples, Oreta",Main Campus
1,BIOT,5253,1,27644,MOLECULAR BIOTECHNIQUES,,3,8,20,01:00-01:50,M W,STALLWORTH,"Biswas, Bipul",Main Campus
1,BIOT,5253L,51,27645,MOLECULAR BIOTECHNIQUES LAB,,0,8,20,02:00-03:50,W,STALLWORTH,"Biswas, Bipul",Main Campus
1,BIOT,5373,1,27888,PLANT TISSUE & CELL CULTURE,,3,6,20,08:00-08:50,M W,STALLWORTH,"Joshee, Nirmal",Main Campus
1,BIOT,5373L,51,27889,PLANT TISS. & CELL CULT. LAB,,0,6,20,02:00-03:50,F,STALLWORTH,"Joshee, Nirmal",Main Campus
1,BIOT,5483,1,27894,MOLECULAR MARKER TECHNOLOGY,,3,5,20,10:00-10:50,M W,STALLWORTH,"Singh, Hari",Main Campus
1,BIOT,5483L,51,27895,MOLECULAR MARKER TECH LAB,,0,5,20,09:00-10:50,F,STALLWORTH,"Singh, Hari",Main Campus
1,BIOT,6513,1,26927,COMPUTATIONAL BIOLOGY,,3,2,20,11:00-11:50,M W F,STALLWORTH,"Gosukonda, Ramana",Main Campus
1,BIOT,6523,1,27140,COMMUNICATIONS IN BIOTECHNOLOG,,3,7,20,11:00-11:50,M W F,STALLWORTH,"Mahapatra, Ajit",Main Campus
1,BIOT,6993,1,25901,MASTER'S THESIS RESEARCH,,1,9,20,08:00-05:00,S,STALLWORTH,"Singh, Hari",Main Campus
1,BLOG,3133,1,25999,BUSINESS LOGISTICS,,3,39,30,02:00-03:15,M W,0218 BYWATERS ACADEMIC,"Gyapong, Samuel",Main Campus
1,BLOG,4203,1,26523,PROCUREMENT & MATERIALS MNGT,,3,9,35,02:00-03:15,M W,0211 BYWATERS ACADEMIC,"Gebremikael, Fesseha",Main Campus
1,BLOG,4223,1,27294,TRANSPORTATION,,3,16,35,09:30-10:45,T R,0123 BYWATERS ACADEMIC,"Salone, David",Main Campus
1,BLOG,4233,1,26202,GLOBAL LOGISTICS,,3,18,35,12:30-01:45,M W,0204 BYWATERS ACADEMIC,"Salone, David",Main Campus
1,BLOG,4243,1,27055,WAREHOUSING & TERMINAL MNGT,,3,16,30,09:30-10:45,M W,0204 BYWATERS ACADEMIC,"Gyapong, Samuel",Main Campus
1,BLOG,4253,2,28020,STRATEGIC SUPPLY CHAIN MNGT,,3,2,2,08:00-09:15,R,0108 BYWATERS ACADEMIC,"Gebremikael, Fesseha",Main Campus
1,BLOG,4263,1,27783,LEAN SUPP CHN & LOGISTICS MNGT,,3,10,30,02:00-03:15,M W,0204 BYWATERS ACADEMIC,"Salone, David",Main Campus
1,BLOG,4273,1,27563,SUPPLY CHAIN ANALYSIS,,3,6,30,09:30-10:45,T R,0211 BYWATERS ACADEMIC,"Gebremikael, Fesseha",Main Campus
1,BUSA,1911,2,27056,LEADERSHIP DEVELOPMENT I,,1,43,40,05:30-06:45,M,0105 BYWATERS ACADEMIC,"Brown, Joyce",Main Campus
1,BUSA,1911,1,27913,LEADERSHIP DEVELOPMENT I,,1,43,40,03:30-04:45,W,0105 BYWATERS ACADEMIC,"Ivory, Regina",Main Campus
1,BUSA,1921,1,26526,LEADERSHIP DEVELOPMENT II,,1,21,30,05:30-06:45,M,0123 BYWATERS ACADEMIC,"Ivory, Regina",Main Campus
1,BUSA,1921,2,27058,LEADERSHIP DEVELOPMENT II,,1,34,30,12:30-01:45,M,0218 BYWATERS ACADEMIC,"Parker, Marvin",Main Campus
1,BUSA,2105,1,24383,COMMUN. IN THE BUSI. ENVIRO,,3,37,30,05:30-08:15,W,0123 BYWATERS ACADEMIC,"Davis, Cathy",Main Campus
1,BUSA,2503,1,23601,BUSINESS INFORMATION SYSTEM,,3,34,25,05:30-08:15,W,0204 BYWATERS ACADEMIC,"Salone, David",Main Campus
1,BUSA,3103,1,22987,FINANCIAL MANAGEMENT,- $40 or under req txtbks cost,3,23,35,11:00-12:15,M W,0204 BYWATERS ACADEMIC,"Ivory, Regina",Main Campus
1,BUSA,3203,1,27784,QUANTITATIVE METHODS,,3,27,40,11:00-12:15,T R,0218 BYWATERS ACADEMIC,"Gyapong, Samuel",Main Campus
